REGION,ISO,COUNTRY,INDICATOR,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,DZA,Algeria,Employment growth,0,0.821573201,1.046283131,1.470812665,-0.406167293,1.127034868,0.900135954,0.822183082,0.765022255,0.681300651,0.637401068,0.273954591,-2.735132834,0.733663472,1.238315447,1.207099291,1.299995874,1.53291785,1.113622121,0.962679663,1.000689456,3.012743013,0.598503741,0.099157164,3.120356612,6.484149856,5.638249887,-0.213492741,18.9559264,8.525179856,4.242625124,3.910969793,6.303549572,4.576856649,3.440682631,3.352847259,3.269824923,3.166292695,3.383276945,3.27255727,2.735229759,3.343982961,2.390766694,1.489533011,2.221340738,5.471478463,3.476821192,3.377777778,3.061049011,1.401635241,2.682244529,5.721153846,4.592996817,-3.129623188,16.67185314,3.152026336,10.25063959,-3.095806379,6.408441092,3.57572444,2.77660473,-1.397021058,5.948536306,6.076696165,-5.088987764,3.467135462,2.369265622,0.119870908,1.317001289,1.271976679,-5.385158632,2.260981302,4.390568409
Africa,DZA,Algeria,Total Hours growth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5520917,-3.382445196,7.525703837,4.263640629,2.595626248,2.681906824,1.2664074,5.913008093,-5.824206123,2.659371531,3.161032979,-1.518508293,1.050032989,0.765515599,-9.287216528,3.746051964,8.061981853
Africa,DZA,Algeria,Population growth,0,2.030717718,2.272832476,2.71764988,0.832830625,2.400954813,2.187413729,2.125088731,2.084237185,2.016905223,1.990371336,1.946514596,-1.085244134,2.471877878,3.015911287,3.015907023,3.14341001,3.414816592,3.023141963,2.906049299,2.982945978,2.896543645,2.967474616,2.960119945,2.997001393,3.111517134,3.062938546,3.1151061,3.107153792,3.076846875,3.160346402,3.195645276,3.229328786,3.230692721,3.189229602,3.129741854,2.881111573,2.704723296,2.691082279,2.577551323,2.419658802,2.522896674,2.585191546,2.495411255,2.223382322,2.028887864,1.821575169,1.666522295,1.537182574,1.464590999,1.434104173,1.433705666,1.436528689,1.432902364,1.486873587,1.438230476,1.529277665,1.739722201,1.814633673,1.873829829,1.933022927,1.958168471,1.941246082,1.922424478,1.898153777,1.867688562,1.816241449,1.746522701,1.675268053,1.602336864,1.52811829,1.454301157,1.381915391
Africa,DZA,Algeria,Output per Employed Person growth,0,-0.120582527,3.386998245,0.70512801,6.292189224,1.839926237,8.832644923,10.4362234,2.841986786,17.51586198,6.15320192,-12.38706282,-19.00979515,25.48429444,3.950282816,5.383014966,-6.050423633,7.699118009,10.4488493,8.52573964,8.922803268,-11.19596411,20.27927729,3.151741451,2.889119792,0.599314809,0.900144976,9.29627668,-5.154955799,0.439405919,-2.28939459,-1.340130188,0.101101981,0.576918785,2.021526098,1.79495181,-4.146768999,-3.745853302,-5.29693802,0.097660237,-4.203454333,-4.396949711,-0.772302738,-3.538821103,-3.053511835,-1.539258278,0.31232,-2.203353396,1.978391457,1.773506664,1.088557692,-2.573897226,0.962782609,10.66334573,-10.60397414,2.66400357,-7.770149562,6.675465878,-3.804624004,-1.876621622,0.816718233,4.357901865,-2.405447394,-3.088987764,9.36560211,0.225061355,0.811507607,1.278596427,-0.115480411,-0.466048649,0.51277223,0.72267906,-1.332082419
Africa,DZA,Algeria,Output per Hour Worked growth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.846173616,6.991943865,-4.804157194,-2.524025263,0.994558725,0.212396889,2.106910529,-2.939212235,10.21940536,1.013671186,0.037773003,2.963509429,0.148408671,0.034222423,4.836381775,-0.719113595,-4.684331868
Africa,DZA,Algeria,Per Capita Income growth,0,-1.304232438,2.147086805,-0.517280227,4.986108651,0.572985772,7.461655679,9.027284802,1.512979603,15.97734518,4.745008929,-13.82446257,-20.36070405,23.35572401,2.156563884,3.532644302,-7.729522445,5.739255376,8.401694987,6.476242758,6.826214021,-11.09567918,17.51201407,0.285454065,3.012345806,3.889776926,3.421412964,5.768147062,9.423834162,5.748331681,-1.264290343,-0.656246449,3.082162615,1.888476583,2.27013365,2.015169602,-3.784608929,-3.313273697,-4.658587027,0.775863881,-3.908290221,-3.631283152,-0.96036429,-4.485480081,-3.055448031,1.782938317,1.94303106,-0.557235836,3.508879541,1.710359234,2.33244612,1.544155686,4.104508863,5.685628136,2.771911592,4.39850883,0.152391841,1.605349183,0.535646309,-0.2373817,1.651061673,0.923743084,1.430975168,0.861023005,1.866418726,1.798717006,1.359074477,-0.340574491,-0.467437227,-0.789683474,-6.331367505,1.523541955,1.59602884
Africa,AGO,Angola,Real GDP,22923.05908,23769.90495,24664.3859,25580.03799,24891.97572,26887.3563,26384.54157,28903.90802,30438.81616,30576.42861,31814.94069,35117.63958,34106.71732,35943.3143,40156.37249,43369.094,45703.21292,47973.81841,47354.56237,48984.74066,52446.22315,52626.17789,53409.51032,57077.41148,54208.72111,33418.65506,30004.80765,30692.86992,31952.55315,32730.59279,34313.136,33625.07374,32021.35937,30968.09483,31126.87843,31285.66203,28469.89952,31677.32824,36218.53921,36832.50246,38118.64962,42724.90724,47596.82841,52817.72452,58369.39555,64418.7997,71638.85877,76849.86936,80454.89673,82209.61803,84721.12186,88284.49224,100349.451,103349.8995,114669.814,131903.5404,147135.7612,167749.4814,186480.3885,188082.255,197221.1718,204068.6909,221500.2384,232475.5752,243687.8722,245988.2858,239641.788,239282.3253,234389.0018,233135.0206,220580.6997,221232.7399,227497.7515
Africa,AGO,Angola,Nominal GDP,2534.284775,2814.190679,2970.579394,3118.156901,3062.372384,3363.749388,3413.323479,3863.325147,4161.016568,4237.116127,4468.919587,4985.349895,4900.800019,5223.925704,5925.27726,6516.570486,7059.650385,7625.295749,7847.384263,8515.607009,9598.438154,10119.60295,10714.18825,12077.4313,12502.61232,8421.552288,7977.382728,8667.348423,9657.737382,10713.67201,12246.25097,13136.20577,13282.56949,13348.80938,13901.30808,14414.08489,13380.95215,15256.61805,18059.09806,19085.21013,20491.01208,23743.84009,27054.15273,30733.33953,34688.99019,39086.9379,44263.68339,48302.22891,51137.25489,52988.91157,55844.92543,59504.81027,68690.85122,72141.01103,82191.24478,97508.45529,112124.8687,131288.3478,148747.2154,150986.5303,160225.7091,169233.3293,187125.2657,199836.2264,213391.296,217560.8745,214071.9297,217807.5737,218450.4389,221168.3496,211780.4235,221232.7399,240022.5117
Africa,AGO,Angola,Employment,2717.733359,2745.886766,2776.125468,2807.919922,2840.729939,2874.587248,2909.521086,2945.859194,2984.586863,3025.750689,3069.075212,3028.429883,3063.148422,3110.169695,3164.835199,3220.417883,3249.004283,3264.681216,3315.256244,3376.632863,3445.222348,3519.4647,3589.780864,3652.56045,3612.028638,3533.790573,3551.774568,3665.921526,3721.532267,3801.125894,3953.162353,4012.131396,4071.691079,4178.330492,4272.075825,4330.526865,4400.40902,4449.993782,4507.340233,4555.675616,4610.051634,4752,4906.5,5066.9,5240.6,5422.8,5599.4,5786.8,5986.3,6197.7,6421.4,6640.4,6874.7,7120.6,7384.3,7662.3,7938.6,8233.6,8542.9,8863.7,8655.2,9169.9,9499.3,9839.2,10193.4,10559.4,10929.9,11317.9,11720.5,12143.3,12297.6,12779.6,13360.3
Africa,AGO,Angola,Average Hours Worked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062.518722,2066.767793,2070.813982,2074.463941,2075.725577,2049.058462,2064.304562,2067.081153,2070.517156,2075.35421,2080.140349,2085.332309,2090.235609,2095.188942,2097.894016,1964.900273,2025.070738,2079.326273
